object_kind,object_id,object_class,quantity,quantity_period,observation_calculation_class,model_use,evidence_reference,claim_boundary
node,DZA-M-UNSPECIFIED-FISH-COMMO-47087F5CE,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-GUELMA-2026,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-UNSPECIFIED-FISH-COMMO-C7B6288C0,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-DZA-GUELMA-2026,location-product pair retained from evidence record; quantity may be unresolved
node,DZA-M-UNSPECIFIED-FISH-COMMO-24C1FD0AE,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-GUELMA-2026,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-N-BOUDOUAOU-BOUMERDES-E48565ACA,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,DZA-N-BOUDOUAOU-CORSO-DELLYS-AND-890A056,agricultural_source,,,registry_scaffold,,CHEM-DZA-BOUMERDES-VEG-2024 | atlas_unit:CHEM-DZA-BOUMERDES-VEG-2024 | reviewed_atomization_v1_1_0,compound label retained as parent | source-risk metric visible | retained from frozen_atlas_unit
node,DZA-N-CORSO-BOUMERDES-1BDD2696B,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,DZA-N-DELLYS-BOUMERDES-FA438129E,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,DZA-N-GUELMA-MARKET-REGION-4D2767D7C,market_or_landing,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,DZA-N-NACERIA-BOUMERDES-870E86A8F,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,DZA-N-EASTERN-ALGERIAN-COAST-3A487E067,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,DZA-N-EASTERN-ALGERIAN-COAST-GUE-DC99032,market_or_landing,,,registry_scaffold,,CHEM-DZA-GUELMA-2026 | atlas_unit:CHEM-DZA-GUELMA-2026 | reviewed_atomization_v1_1_0,chemistry/source record retained; join status as inherited | compound label retained as parent | retained from frozen_atlas_unit
node,DZA-N-COUNTRY,country_anchor,,,registry_scaffold,,country_atlas_v2_layer_54,structural registry node; not food-safety evidence
node,DZA-N-TRADE-GATEWAY,national_trade_gateway,,,registry_scaffold,,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs country-pair node; not a source-specific contaminant shipment
node,DZA-M-DRIED-SALTED-SMOKED-FI-0987D0CAB,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-DRIED-SALTED-SMOKED-FI-84B3FCE55,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-FISH-FILLETS-AND-MEAT-61424DA33,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-FRESH-OR-CHILLED-FISH-8CA1A3BFD,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-FROZEN-FISH-731AEFCEB,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-MOLLUSCS-D4F6FB12C,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-PREPARED-CRUSTACEANS-M-49887B495,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,DZA-M-PREPARED-OR-PRESERVED-CB8CD2467,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-SPHYRAENA-GUACHANCHO-59E6948CF,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,AGO_COASTAL_SPHYRAENA_GUACHANCHO_CHILD,location-product pair retained from evidence record; quantity may be unresolved
node,AGO-M-FIVE-COMMONLY-CONSUMED-77B3B06A0,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,OD-R4-AGO-FISH-001 | R4-AGO-FISH-001,location-product pair retained from evidence record; quantity may be unresolved
node,AGO-M-FIVE-COMMONLY-CONSUMED-3381E33A6,mass_labelled_commodity_state,,,structural_or_context_observation,destination-product route context; local absorption not assumed,OD-R4-AGO-FISH-001 | R4-AGO-FISH-001,destination-product route context; local absorption not assumed
node,AGO-M-UNSPECIFIED-FISH-COMMO-6C78D86AB,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-AGO-01,location-product pair retained from evidence record; quantity may be unresolved
node,AGO-N-ANGOLAN-COASTAL-NANSEN-SUR-8AEBF9F,aquatic_source,,,registry_scaffold,,OD-R4-AGO-FISH-001 | atlas_unit:OD-R4-AGO-FISH-001 | R4-AGO-FISH-001,retained from four_round_od_ledger | retained from frozen_atlas_unit | source_node_plus_reported_consumption_scenario
node,AGO-N-ANGOLAN-MARINE-SURVEY-COAS-718A121,market_or_landing,,,registry_scaffold,,CHEM-AGO-01 | atlas_unit:CHEM-AGO-01,chemistry/source record retained; join status as inherited | retained from frozen_atlas_unit
node,AGO-N-ANGOLAN-MARINE-SURVEY-COAS-0088EAC,aquatic_source,,,registry_scaffold,,AGO_COASTAL_SPHYRAENA_GUACHANCHO_CHILD | nf_unit:AGO_COASTAL_SPHYRAENA_GUACHANCHO_CHILD,direct_source_scenario_alarm | retained from latest_nf_curated_unit
node,AGO-N-ADULT-AND-CHILD-CONSUMERS-435CC75,consumer_catchment,,,registry_scaffold,,OD-R4-AGO-FISH-001 | atlas_unit:OD-R4-AGO-FISH-001 | R4-AGO-FISH-001,retained from four_round_od_ledger | retained from frozen_atlas_unit | source_node_plus_reported_consumption_scenario
node,AGO-N-COUNTRY,country_anchor,,,registry_scaffold,,country_atlas_v2_layer_54,structural registry node; not food-safety evidence
node,AGO-N-TRADE-GATEWAY,national_trade_gateway,,,registry_scaffold,,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs country-pair node; not a source-specific contaminant shipment
node,AGO-M-CRUSTACEANS-0C198858D,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-CRUSTACEANS-EA336C6DD,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-DRIED-SALTED-SMOKED-FI-ED5188B70,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-DRIED-SALTED-SMOKED-FI-C58049780,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-FRESH-OR-CHILLED-FISH-DF007F790,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-FRESH-OR-CHILLED-FISH-48BFE8265,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-FROZEN-FISH-F664CEA95,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-MOLLUSCS-1317D28F5,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-MOLLUSCS-C22045223,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,AGO-M-PREPARED-OR-PRESERVED-66C0220E6,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-EIGHT-EDIBLE-VEGETABLE-9CA737632,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-BEN-COTONOU-VEG-2013,product reported for compound parent; member-specific product and quantity unresolved
node,BEN-M-EIGHT-EDIBLE-VEGETABLE-1AE93C392,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-BEN-COTONOU-VEG-2013,product reported for compound parent; member-specific product and quantity unresolved
node,BEN-M-EIGHT-EDIBLE-VEGETABLE-9B9E38C4E,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-BEN-COTONOU-VEG-2013,product reported for compound parent; member-specific product and quantity unresolved
node,BEN-M-EIGHT-EDIBLE-VEGETABLE-F08AFA65E,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-BEN-COTONOU-VEG-2013,product reported for compound parent; member-specific product and quantity unresolved
node,BEN-M-EIGHT-EDIBLE-VEGETABLE-489C1BB75,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-BEN-COTONOU-VEG-2013,location-product pair retained from evidence record; quantity may be unresolved
node,BEN-M-UNSPECIFIED-FISH-COMMO-E3B3131EB,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-BEN-02,product reported for compound parent; member-specific product and quantity unresolved
node,BEN-M-UNSPECIFIED-FISH-COMMO-55DFC1B45,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-BEN-02,location-product pair retained from evidence record; quantity may be unresolved
node,BEN-M-UNSPECIFIED-FISH-COMMO-82E066992,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-BEN-02,product reported for compound parent; member-specific product and quantity unresolved
node,BEN-M-UNSPECIFIED-FISH-COMMO-FDD96259B,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-BEN-01,location-product pair retained from evidence record; quantity may be unresolved
node,BEN-N-APLAHOUE-9EB42DF51,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,BEN-N-COTONOU-1EA876491,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,BEN-N-COTONOU-LAGOON-8405FDFA6,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,BEN-N-GODOMEY-7B1AB41D0,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,BEN-N-HOUEYIHO-4B0212E7F,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,BEN-N-HOUEYIHO-GODOMEY-COTONOU-A-7A4319D,agricultural_source,,,registry_scaffold,,CHEM-BEN-COTONOU-VEG-2013 | atlas_unit:CHEM-BEN-COTONOU-VEG-2013 | reviewed_atomization_v1_1_0,compound label retained as parent | source-risk metric visible | retained from frozen_atlas_unit
node,BEN-N-LAKE-NOKOUE-6EAD0E9C8,named_locality,,,registry_scaffold,,reviewed_atomization_v1_1_0,explicit named member; member-specific mass may remain unresolved
node,BEN-N-LAKE-NOKOUE-COTONOU-LAGOON-478110A,aquatic_source,,,registry_scaffold,,CHEM-BEN-02 | atlas_unit:CHEM-BEN-02 | reviewed_atomization_v1_1_0,chemistry/source record retained; join status as inherited | compound label retained as parent | retained from frozen_atlas_unit
node,BEN-N-LOWER-MONO-RIVER-F78DBC1,aquatic_source,,,registry_scaffold,,CHEM-BEN-01 | atlas_unit:CHEM-BEN-01,chemistry/source record retained; join status as inherited | retained from frozen_atlas_unit
node,BEN-N-COUNTRY,country_anchor,,,registry_scaffold,,country_atlas_v2_layer_54,structural registry node; not food-safety evidence
node,BEN-N-TRADE-GATEWAY,national_trade_gateway,,,registry_scaffold,,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs country-pair node; not a source-specific contaminant shipment
node,BEN-M-CRUSTACEANS-FA05F55CF,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-CRUSTACEANS-473742558,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-DRIED-SALTED-SMOKED-FI-FA2E142B0,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-DRIED-SALTED-SMOKED-FI-D0EFC6201,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-FISH-FILLETS-AND-MEAT-0B464B01C,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-FISH-FILLETS-AND-MEAT-8ADFCA9DF,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-FRESH-OR-CHILLED-FISH-F6DF2F782,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-FRESH-OR-CHILLED-FISH-546515E75,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-FROZEN-FISH-5305C2F4B,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-FROZEN-FISH-5FA63C7A5,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-LIVE-FISH-43178D3F4,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-LIVE-FISH-156F75144,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-MOLLUSCS-BF7BDF23F,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-OTHER-AQUATIC-INVERTEB-2ECC62492,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-OTHER-AQUATIC-INVERTEB-14BAB742B,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-PREPARED-CRUSTACEANS-M-31CF288C5,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-PREPARED-CRUSTACEANS-M-000B48D5E,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-PREPARED-OR-PRESERVED-65A27A259,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BEN-M-PREPARED-OR-PRESERVED-15AEC844D,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-COMMON-VEGETABLES-6912EBF9D,mass_labelled_commodity_state,,,structural_or_context_observation,destination-product route context; local absorption not assumed,OD-R3-BWA-VEG-003 | R3-BWA-VEG-003,destination-product route context; local absorption not assumed
node,BWA-M-COMMON-VEGETABLES-1DE74E534,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,OD-R3-BWA-VEG-003 | R3-BWA-VEG-003,location-product pair retained from evidence record; quantity may be unresolved
node,BWA-M-CONSUMER-READY-CABBAGE-D43FD0B39,mass_labelled_commodity_state,,,structural_or_context_observation,destination-product route context; local absorption not assumed,OD-R3-BWA-VEG-001 | R3-BWA-VEG-001,destination-product route context; local absorption not assumed
node,BWA-M-CONSUMER-READY-CABBAGE-7F2634894,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,OD-R3-BWA-VEG-001 | R3-BWA-VEG-001,location-product pair retained from evidence record; quantity may be unresolved
node,BWA-M-SPINACH-78D3EE28F,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,OD-R3-BWA-VEG-002 | R3-BWA-VEG-002,location-product pair retained from evidence record; quantity may be unresolved
node,BWA-M-SPINACH-BECA55E4F,mass_labelled_commodity_state,,,structural_or_context_observation,destination-product route context; local absorption not assumed,OD-R3-BWA-VEG-002 | R3-BWA-VEG-002,destination-product route context; local absorption not assumed
node,BWA-M-UNSPECIFIED-FISH-COMMO-0C697C4CE,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-BWA-01,location-product pair retained from evidence record; quantity may be unresolved
node,BWA-N-LAKE-NGAMI-0CB2DD7,aquatic_source,,,registry_scaffold,,CHEM-BWA-01 | atlas_unit:CHEM-BWA-01,chemistry/source record retained; join status as inherited | retained from frozen_atlas_unit
node,BWA-N-LAKE-NGAMI-OKAVANGO-CONSUM-18CF03D,aquatic_source,,,registry_scaffold,,paired_chain:BWA_LAKE_NGAMI_AS,excluded
node,BWA-N-MAUN-CONSUMERS-0F2CDDD,consumer_catchment,,,registry_scaffold,,OD-R3-BWA-VEG-003 | atlas_unit:OD-R3-BWA-VEG-003 | R3-BWA-VEG-003,market_destination_observed_upstream_origin_incomplete | retained from frozen_atlas_unit | retained from four_round_od_ledger
node,BWA-N-MAUN-SUPERMARKETS-AND-OPEN-945878F,market_or_landing,,,registry_scaffold,,OD-R3-BWA-VEG-003 | atlas_unit:OD-R3-BWA-VEG-003 | R3-BWA-VEG-003,market_destination_observed_upstream_origin_incomplete | retained from frozen_atlas_unit | retained from four_round_od_ledger
node,BWA-N-SELEBI-PHIKWE-MINING-AND-S-762D782,agricultural_source,,,registry_scaffold,,OD-R3-BWA-VEG-002 | atlas_unit:OD-R3-BWA-VEG-002 | R3-BWA-VEG-002,retained from four_round_od_ledger | retained from frozen_atlas_unit | source_node_present_quantitative_destination_allocation_pending
node,BWA-N-CABBAGE-CONSUMERS-0B8BC40,consumer_catchment,,,registry_scaffold,,OD-R3-BWA-VEG-001 | atlas_unit:OD-R3-BWA-VEG-001 | R3-BWA-VEG-001,market_destination_observed_upstream_origin_incomplete | retained from frozen_atlas_unit | retained from four_round_od_ledger
node,BWA-N-LOCAL-SPINACH-CONSUMERS-2EEFDF5,consumer_catchment,,,registry_scaffold,,OD-R3-BWA-VEG-002 | atlas_unit:OD-R3-BWA-VEG-002 | R3-BWA-VEG-002,retained from four_round_od_ledger | retained from frozen_atlas_unit | source_node_present_quantitative_destination_allocation_pending
node,BWA-N-THREE-DOMESTIC-CABBAGE-MAR-572FCB9,market_or_landing,,,registry_scaffold,,OD-R3-BWA-VEG-001 | atlas_unit:OD-R3-BWA-VEG-001 | R3-BWA-VEG-001,market_destination_observed_upstream_origin_incomplete | retained from frozen_atlas_unit | retained from four_round_od_ledger
node,BWA-N-COUNTRY,country_anchor,,,registry_scaffold,,country_atlas_v2_layer_54,structural registry node; not food-safety evidence
node,BWA-N-TRADE-GATEWAY,national_trade_gateway,,,registry_scaffold,,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs country-pair node; not a source-specific contaminant shipment
node,BWA-M-CRUSTACEANS-C72E262B6,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-DRIED-SALTED-SMOKED-FI-77665C5A5,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-DRIED-SALTED-SMOKED-FI-21B57BA40,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-FISH-FILLETS-AND-MEAT-482878832,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-FRESH-OR-CHILLED-FISH-D55B64DF6,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-FROZEN-FISH-F63AD8046,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-FROZEN-FISH-8C1ADBCE5,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
node,BWA-M-LIVE-FISH-1D07AE6BE,mass_labelled_commodity_state,,,structural_or_context_observation,formal customs form at national gateway; port/border not identified,NF_country_UN_Comtrade_aquatic_partner_flows_2019_2024_v1_0.csv,formal customs form at national gateway; port/border not identified
