route_id,from_node_id,to_node_id,country,iso3,from_name,to_name,source_longitude,source_latitude,destination_longitude,destination_latitude,great_circle_distance_km,food_domains,route_kind,evidence_class,quantitative_state,mass_balance_use,cross_border,road_geometry_status,source_reference,claim_boundary,origin_release
GEO_ROUTE_6FC0DCFFDD2589,GEO_AGO_2236500,GEO_AGO_2236568,Angola,AGO,Viana,Uíge,13.37499,-8.90553,15.06131,-7.60874,235.002,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_1AB22A12AE7799,GEO_AGO_2236568,GEO_AGO_2236500,Angola,AGO,Uíge,Viana,15.06131,-7.60874,13.37499,-8.90553,235.002,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_B2BD834373B164,GEO_AGO_2236500,GEO_AGO_12170526,Angola,AGO,Viana,Vila Flor,13.37499,-8.90553,13.30781,-8.98007,11.097,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_DC4374323F6FE3,GEO_AGO_12170526,GEO_AGO_2236500,Angola,AGO,Vila Flor,Viana,13.30781,-8.98007,13.37499,-8.90553,11.097,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_02DE3E60577277,GEO_AGO_7758790,GEO_AGO_13631351,Angola,AGO,Kikolo,Hoji ya Henda,13.33384,-8.7815,13.2897,-8.80523,5.522,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_E9070EB7F7112D,GEO_AGO_13631351,GEO_AGO_7758790,Angola,AGO,Hoji ya Henda,Kikolo,13.2897,-8.80523,13.33384,-8.7815,5.522,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_26CA216ECC7978,GEO_AGO_7758790,GEO_AGO_2243271,Angola,AGO,Kikolo,Cabinda,13.33384,-8.7815,12.19476,-5.56198,379.406,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_2C4DD3C4F5CBA7,GEO_AGO_2243271,GEO_AGO_7758790,Angola,AGO,Cabinda,Kikolo,12.19476,-5.56198,13.33384,-8.7815,379.406,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_5713671CD87325,GEO_AGO_7758790,GEO_AGO_13608165,Angola,AGO,Kikolo,Kima Kieza,13.33384,-8.7815,13.29517,-8.83411,7.23,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_7B66D27F53EE06,GEO_AGO_13608165,GEO_AGO_7758790,Angola,AGO,Kima Kieza,Kikolo,13.29517,-8.83411,13.33384,-8.7815,7.23,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_9BA7D8432DBF16,GEO_AGO_7758790,GEO_AGO_2236568,Angola,AGO,Kikolo,Uíge,13.33384,-8.7815,15.06131,-7.60874,230.546,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_EDE933A47F4766,GEO_AGO_2236568,GEO_AGO_7758790,Angola,AGO,Uíge,Kikolo,15.06131,-7.60874,13.33384,-8.7815,230.546,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_1AE050C797A2BC,GEO_AGO_2239888,GEO_AGO_2591953,Angola,AGO,Maianga,Golfe,13.23698,-8.84693,13.26173,-8.86639,3.475,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_53990EA9D744BA,GEO_AGO_2591953,GEO_AGO_2239888,Angola,AGO,Golfe,Maianga,13.26173,-8.86639,13.23698,-8.84693,3.475,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_E13A01617319E2,GEO_AGO_2239888,GEO_AGO_13546342,Angola,AGO,Maianga,Samba,13.23698,-8.84693,13.19617,-8.88001,5.799,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_A50B50C2AD0D76,GEO_AGO_13546342,GEO_AGO_2239888,Angola,AGO,Samba,Maianga,13.19617,-8.88001,13.23698,-8.84693,5.799,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_B1F762151A6A0F,GEO_AGO_2591957,GEO_AGO_11592397,Angola,AGO,Camama,Nova Vida,13.26518,-8.93611,13.22213,-8.90552,5.825,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_F93E7E4970A2EC,GEO_AGO_11592397,GEO_AGO_2591957,Angola,AGO,Nova Vida,Camama,13.22213,-8.90552,13.26518,-8.93611,5.825,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_0EFEBC58C5B5CE,GEO_AGO_2591957,GEO_AGO_12170526,Angola,AGO,Camama,Vila Flor,13.26518,-8.93611,13.30781,-8.98007,6.769,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_E1336FD019164C,GEO_AGO_12170526,GEO_AGO_2591957,Angola,AGO,Vila Flor,Camama,13.30781,-8.98007,13.26518,-8.93611,6.769,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_E974CC4A008B41,GEO_AGO_2591953,GEO_AGO_10402606,Angola,AGO,Golfe,Kilamba,13.26173,-8.86639,13.275,-8.84861,2.456,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_86BDF236F59BA1,GEO_AGO_10402606,GEO_AGO_2591953,Angola,AGO,Kilamba,Golfe,13.275,-8.84861,13.26173,-8.86639,2.456,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_F950C4B0DACF9A,GEO_AGO_2242906,GEO_AGO_12170526,Angola,AGO,Calumbo,Vila Flor,13.41936,-9.14692,13.30781,-8.98007,22.232,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_D67B50503D7D0E,GEO_AGO_12170526,GEO_AGO_2242906,Angola,AGO,Vila Flor,Calumbo,13.30781,-8.98007,13.41936,-9.14692,22.232,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_717BF1B2D59BA2,GEO_AGO_2242906,GEO_AGO_3346015,Angola,AGO,Calumbo,Sumbe,13.41936,-9.14692,13.84371,-11.20605,233.627,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_52EBC28CE36774,GEO_AGO_3346015,GEO_AGO_2242906,Angola,AGO,Sumbe,Calumbo,13.84371,-11.20605,13.41936,-9.14692,233.627,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_827773B5264D98,GEO_AGO_13631351,GEO_AGO_2243271,Angola,AGO,Hoji ya Henda,Cabinda,13.2897,-8.80523,12.19476,-5.56198,380.321,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_937E3A0724BC5C,GEO_AGO_2243271,GEO_AGO_13631351,Angola,AGO,Cabinda,Hoji ya Henda,12.19476,-5.56198,13.2897,-8.80523,380.321,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_199AE12649D990,GEO_AGO_13631351,GEO_AGO_13608165,Angola,AGO,Hoji ya Henda,Kima Kieza,13.2897,-8.80523,13.29517,-8.83411,3.267,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_87A0B5D740251D,GEO_AGO_13608165,GEO_AGO_13631351,Angola,AGO,Kima Kieza,Hoji ya Henda,13.29517,-8.83411,13.2897,-8.80523,3.267,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_7B1D8AD83B799E,GEO_AGO_13631351,GEO_AGO_2591949,Angola,AGO,Hoji ya Henda,Cazenga,13.2897,-8.80523,13.28399,-8.83796,3.693,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_65E23C002A8527,GEO_AGO_2591949,GEO_AGO_13631351,Angola,AGO,Cazenga,Hoji ya Henda,13.28399,-8.83796,13.2897,-8.80523,3.693,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_BA8D9616DA4FD4,GEO_AGO_3347762,GEO_AGO_3347019,Angola,AGO,Lubango,Mossamedes,13.4925,-14.91717,12.15222,-15.19611,147.22,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_5B050AF7ADB58C,GEO_AGO_3347019,GEO_AGO_3347762,Angola,AGO,Mossamedes,Lubango,12.15222,-15.19611,13.4925,-14.91717,147.22,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_B79E58691F31C8,GEO_AGO_3347762,GEO_AGO_13607978,Angola,AGO,Lubango,Navegantes,13.4925,-14.91717,13.39123,-12.58997,259.004,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_12C98E8284FC0F,GEO_AGO_13607978,GEO_AGO_3347762,Angola,AGO,Navegantes,Lubango,13.39123,-12.58997,13.4925,-14.91717,259.004,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_FE7587F6E50480,GEO_AGO_3348313,GEO_AGO_3351663,Angola,AGO,Huambo,Benguela,15.73917,-12.77611,13.40268,-12.57674,254.44,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_BED7FB16543EA3,GEO_AGO_3351663,GEO_AGO_3348313,Angola,AGO,Benguela,Huambo,13.40268,-12.57674,15.73917,-12.77611,254.44,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_C3585126A4FE7E,GEO_AGO_3348313,GEO_AGO_3348078,Angola,AGO,Huambo,Cuíto,15.73917,-12.77611,16.93333,-12.38333,136.758,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
